timestamp,frame,face_detected,face_score,face_latency_ms,emotion_latency_ms,total_latency_ms,predicted_emotion,pipeline_fps
1787848331.171352,73,0,,53.47847938537598,,58.152198791503906,,15.809583089218915
1787848331.2381227,74,1,0.5,53.214073181152344,7.530927658081055,66.59865379333496,neutral,15.731404794392615
1787848331.2974014,75,0,,54.50868606567383,,59.10301208496094,,15.74334822307741
1787848331.3743446,76,0,,53.315162658691406,,58.22396278381348,,15.756653360092574
1787848331.4414163,77,1,0.5,53.51614952087402,7.644176483154297,66.8942928314209,neutral,15.692128340384011
1787848331.4995894,78,0,,53.411245346069336,,57.99579620361328,,15.69902183293444
1787848331.5574176,79,0,,53.30801010131836,,57.6629638671875,,15.713282230779692
1787848331.6210618,80,0,,53.50685119628906,,58.2890510559082,,15.710413956009285
1787848331.7006083,81,1,0.5,53.23219299316406,7.56382942199707,66.77532196044922,neutral,15.64277096413873
1787848331.7674303,82,1,0.5,53.139686584472656,7.707118988037109,66.65611267089844,neutral,15.574327615197669
1787848331.8346858,83,1,0.5,53.209781646728516,7.627725601196289,67.08812713623047,neutral,15.504753300435869
1787848331.9016027,84,1,0.5,53.40766906738281,7.557392120361328,66.74671173095703,neutral,15.515061601378129
1787848331.9683008,85,1,0.5,53.24268341064453,7.50422477722168,66.53118133544922,neutral,15.515235690692371
1787848332.0349746,86,1,0.5,53.09557914733887,7.660388946533203,66.50233268737793,neutral,15.511494587272768
1787848332.101508,87,1,0.5,53.11417579650879,7.526159286499023,66.36404991149902,neutral,15.515763721737757
1787848332.167961,88,1,0.5,53.11179161071777,7.613420486450195,66.28799438476562,neutral,15.514648394032164
1787848332.225836,89,0,,53.12347412109375,,57.703256607055664,,15.583775173954812
1787848332.302197,90,1,0.5,53.28941345214844,7.680177688598633,66.82872772216797,neutral,15.590224143718018
1787848332.3849635,91,1,0.69140625,54.04233932495117,7.758855819702148,67.60644912719727,neutral,15.777898599427413
1787848332.4513931,92,1,0.69140625,53.148746490478516,7.53331184387207,66.24889373779297,neutral,15.78017014561049
