timestamp,frame,face_detected,recentering,cx,cy,target_yaw_deg,target_pitch_deg,commanded_yaw_deg,commanded_pitch_deg
1787843783.6580467,125,1,0,0.646826446056366,0.3248705267906189,-17.795270928759876,7.999957591981826,-17.795270928759876,7.999957591981826
1787843783.725055,126,0,0,,,,,-17.795270928759876,7.999957591981826
1787843783.7909927,127,0,0,,,,,-17.795270928759876,7.999957591981826
1787843783.8577037,128,1,0,0.6546308994293213,0.33267486095428467,-18.741165663345345,7.999957591981826,-18.741165663345345,7.999957591981826
1787843783.9258504,129,0,0,,,,,-18.741165663345345,7.999957591981826
1787843783.99058,130,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.0576162,131,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.1258922,132,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.193887,133,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.2592075,134,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.3261354,135,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.3896646,136,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.4565475,137,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.5260065,138,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.5899117,139,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.6578767,140,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.7397597,141,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.79007,142,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.8560402,143,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.928285,144,0,0,,,,,-18.741165663345345,7.999957591981826
1787843784.9892354,145,0,0,,,,,-18.741165663345345,7.999957591981826
1787843785.0552998,146,0,0,,,,,-18.741165663345345,7.999957591981826
1787843785.1301396,147,0,0,,,,,-18.741165663345345,7.999957591981826
1787843785.1916132,148,0,0,,,,,-18.741165663345345,7.999957591981826
1787843785.255527,149,0,0,,,,,-18.741165663345345,7.999957591981826
1787843785.3276162,150,0,0,,,,,-18.741165663345345,7.999957591981826
1787843785.3872526,151,0,0,,,,,-18.741165663345345,7.999957591981826
1787843785.454142,152,0,0,,,,,-18.741165663345345,7.999957591981826
1787843785.5296862,153,0,0,,,,,-18.741165663345345,7.999957591981826
1787843785.5872247,154,1,0,0.6422087550163269,0.3195915222167969,-17.235609741488094,7.999957591981826,-17.235609741488094,7.999957591981826
1787843785.6540892,155,1,0,0.6383008360862732,0.31850987672805786,-16.761972477931106,7.999957591981826,-16.761972477931106,7.999957591981826
1787843785.7250943,156,1,0,0.6156088709831238,0.3170660138130188,-14.011720886596612,7.999957591981826,-14.011720886596612,7.999957591981826
1787843785.7886565,157,1,0,0.6000000238418579,0.3170660138130188,-12.119938641470329,7.999957591981826,-12.119938641470329,7.999957591981826
1787843785.856655,158,1,0,0.5859304666519165,0.31255677342414856,-10.414717349479291,7.999957591981826,-10.414717349479291,7.999957591981826
1787843785.928397,159,1,0,0.6070348024368286,0.30552196502685547,-12.972549287465847,7.999957591981826,-12.972549287465847,7.999957591981826
1787843786.001138,160,1,0,0.5951113700866699,0.3061699867248535,-11.52743694721102,7.999957591981826,-11.52743694721102,7.999957591981826
1787843786.053622,161,1,0,0.6012812852859497,0.3061699867248535,-12.275226705307512,7.999957591981826,-12.275226705307512,7.999957591981826
1787843786.1257658,162,1,0,0.5577912926673889,0.30552196502685547,-7.004267541452563,7.999957591981826,-7.275226705307512,7.999957591981826
1787843786.185105,163,1,0,0.5843912959098816,0.3092617094516754,-10.228170844433349,7.999957591981826,-10.228170844433349,7.999957591981826
1787843786.2533545,164,1,0,0.5687824487686157,0.30145734548568726,-8.336388599307066,7.999957591981826,-8.336388599307066,7.999957591981826
1787843786.319562,165,1,0,0.5704317092895508,0.3061699867248535,-8.536277914825062,7.999957591981826,-8.536277914825062,7.999957591981826
1787843786.3874516,166,1,0,0.5704317092895508,0.3061699867248535,-8.536277914825062,7.999957591981826,-8.536277914825062,7.999957591981826
1787843786.45476,167,1,0,0.5375648140907288,0.3170660436153412,-4.552831333099149,7.999957591981826,-4.552831333099149,7.999957591981826
1787843786.5212169,168,1,0,0.5453692078590393,0.3092617392539978,-5.498718843639964,7.999957591981826,-5.498718843639964,7.999957591981826
1787843786.5872812,169,1,0,0.5453692078590393,0.3170660138130188,-5.498718843639964,7.999957591981826,-5.498718843639964,7.999957591981826
1787843786.6530242,170,0,0,,,,,-5.498718843639964,7.999957591981826
1787843786.7209802,171,1,0,0.5471895337104797,0.3307343125343323,-5.719341167308905,7.999957591981826,-5.719341167308905,7.999957591981826
1787843786.7877955,172,1,0,0.5298731327056885,0.3307343125343323,-3.6206044909950705,7.999957591981826,-3.6206044909950705,7.999957591981826
1787843786.8539836,173,1,0,0.5687824487686157,0.33267486095428467,-8.336388599307066,7.999957591981826,-8.336388599307066,7.999957591981826
1787843786.920767,174,1,0,0.5577912926673889,0.32662639021873474,-7.004267541452563,7.999957591981826,-7.004267541452563,7.999957591981826
1787843786.9874628,175,1,0,0.5308496356010437,0.31850987672805786,-3.738956014527102,7.999957591981826,-3.738956014527102,7.999957591981826
1787843787.0513802,176,1,0,0.5298731327056885,0.3307343125343323,-3.6206044909950705,7.999957591981826,-3.6206044909950705,7.999957591981826
1787843787.1198108,177,0,0,,,,,-3.6206044909950705,7.999957591981826
1787843787.1863055,178,0,0,,,,,-3.6206044909950705,7.999957591981826
1787843787.2543106,179,0,0,,,,,-3.6206044909950705,7.999957591981826
1787843787.3203592,180,0,0,,,,,-3.6206044909950705,7.999957591981826
1787843787.3863199,181,0,0,,,,,-3.6206044909950705,7.999957591981826
1787843787.453246,182,0,0,,,,,-3.6206044909950705,7.999957591981826
1787843787.5178993,183,0,0,,,,,-3.6206044909950705,7.999957591981826
1787843787.5868723,184,1,0,0.5453692078590393,0.34047937393188477,-5.498718843639964,7.999957591981826,-5.498718843639964,7.999957591981826
1787843787.6574192,185,1,0,0.5552308559417725,0.3293333053588867,-6.693944255341013,7.999957591981826,-6.693944255341013,7.999957591981826
1787843787.7188845,186,1,0,0.5385314226150513,0.3393925428390503,-4.6699836652189655,7.999957591981826,-4.6699836652189655,7.999957591981826
1787843787.7865024,187,1,0,0.5648260712623596,0.32662639021873474,-7.856878187448082,7.999957591981826,-7.856878187448082,7.999957591981826
1787843787.8525813,188,1,0,0.5718609094619751,0.3195915222167969,-8.709496057488252,7.999957591981826,-8.709496057488252,7.999957591981826
1787843787.9185786,189,0,0,,,,,-8.709496057488252,7.999957591981826
1787843787.9854844,190,0,0,,,,,-8.709496057488252,7.999957591981826
1787843788.0487025,191,0,0,,,,,-8.709496057488252,7.999957591981826
1787843788.119129,192,1,0,0.6000000238418579,0.27738282084465027,-12.119938641470329,7.999957591981826,-12.119938641470329,7.999957591981826
1787843788.186424,193,1,0,0.6183076500892639,0.2635824680328369,-14.338811180345216,7.999957591981826,-14.338811180345216,7.999957591981826
1787843788.2506588,194,1,0,0.6273626089096069,0.2590549886226654,-15.436266371727488,7.999957591981826,-15.436266371727488,7.999957591981826
1787843788.316306,195,1,0,0.6553570628166199,0.26071399450302124,-18.829176199339408,7.999957591981826,-18.829176199339408,7.999957591981826
1787843788.3855882,196,0,0,,,,,-18.829176199339408,7.999957591981826
1787843788.4622633,197,0,0,,,,,-18.829176199339408,7.999957591981826
1787843788.5148008,198,0,0,,,,,-18.829176199339408,7.999957591981826
1787843788.5864615,199,1,0,0.6312505602836609,0.2553569972515106,-15.907483580326092,7.999957591981826,-15.907483580326092,7.999957591981826
1787843788.6511626,200,1,0,0.6224398016929626,0.26810991764068604,-14.839625299882643,7.999957591981826,-14.839625299882643,7.999957591981826
